PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"25869930","Self-regulation of breathing as a primary treatment for anxiety","Jerath R, Crawford MW, Barnes VA, Harden K.","Appl Psychophysiol Biofeedback. 2015 Jun;40(2):107-15. doi: 10.1007/s10484-015-9279-8.","Jerath R","Appl Psychophysiol Biofeedback","2015","2015/04/15","","","10.1007/s10484-015-9279-8"
"26364692","Vagus Nerve and Vagus Nerve Stimulation, a Comprehensive Review: Part I","Yuan H, Silberstein SD.","Headache. 2016 Jan;56(1):71-8. doi: 10.1111/head.12647. Epub 2015 Sep 14.","Yuan H","Headache","2016","2015/09/15","","","10.1111/head.12647"
"25828533","Astrocyte roles in traumatic brain injury","Burda JE, Bernstein AM, Sofroniew MV.","Exp Neurol. 2016 Jan;275 Pt 3(0 3):305-315. doi: 10.1016/j.expneurol.2015.03.020. Epub 2015 Mar 28.","Burda JE","Exp Neurol","2016","2015/04/02","PMC4586307","NIHMS680163","10.1016/j.expneurol.2015.03.020"
"26046241","Gut-Microbiota-Brain Axis and Its Effect on Neuropsychiatric Disorders With Suspected Immune Dysregulation","Petra AI, Panagiotidou S, Hatziagelaki E, Stewart JM, Conti P, Theoharides TC.","Clin Ther. 2015 May 1;37(5):984-95. doi: 10.1016/j.clinthera.2015.04.002.","Petra AI","Clin Ther","2015","2015/06/06","PMC4458706","NIHMS691709","10.1016/j.clinthera.2015.04.002"
"26425393","Phenylketonuria Pathophysiology: on the Role of Metabolic Alterations","Schuck PF, Malgarin F, Cararo JH, Cardoso F, Streck EL, Ferreira GC.","Aging Dis. 2015 Oct 1;6(5):390-9. doi: 10.14336/AD.2015.0827. eCollection 2015 Sep.","Schuck PF","Aging Dis","2015","2015/10/02","PMC4567221","","10.14336/AD.2015.0827"
"26317601","The Modulatory Role of Dopamine in Anxiety-like Behavior","Zarrindast MR, Khakpai F.","Arch Iran Med. 2015 Sep;18(9):591-603.","Zarrindast MR","Arch Iran Med","2015","2015/08/29","","",""
"26174744","Treatment of drug-induced seizures","Chen HY, Albertson TE, Olson KR.","Br J Clin Pharmacol. 2016 Mar;81(3):412-9. doi: 10.1111/bcp.12720. Epub 2015 Sep 17.","Chen HY","Br J Clin Pharmacol","2016","2015/07/16","PMC4767205","","10.1111/bcp.12720"
"26269525","mTOR in Brain Physiology and Pathologies","Bockaert J, Marin P.","Physiol Rev. 2015 Oct;95(4):1157-87. doi: 10.1152/physrev.00038.2014.","Bockaert J","Physiol Rev","2015","2015/08/14","","","10.1152/physrev.00038.2014"
"25475361","What do drug transporters really do?","Nigam SK.","Nat Rev Drug Discov. 2015 Jan;14(1):29-44. doi: 10.1038/nrd4461. Epub 2014 Dec 5.","Nigam SK","Nat Rev Drug Discov","2015","2014/12/06","PMC4750486","NIHMS752421","10.1038/nrd4461"
"26447126","Transmission, Development, and Plasticity of Synapses","Harris KP, Littleton JT.","Genetics. 2015 Oct;201(2):345-75. doi: 10.1534/genetics.115.176529.","Harris KP","Genetics","2015","2015/10/09","PMC4596655","","10.1534/genetics.115.176529"
"25524119","The mechanisms and functions of spontaneous neurotransmitter release","Kavalali ET.","Nat Rev Neurosci. 2015 Jan;16(1):5-16. doi: 10.1038/nrn3875.","Kavalali ET","Nat Rev Neurosci","2015","2014/12/20","","","10.1038/nrn3875"
"26500584","Neurotransmitters as food supplements: the effects of GABA on brain and behavior","Boonstra E, de Kleijn R, Colzato LS, Alkemade A, Forstmann BU, Nieuwenhuis S.","Front Psychol. 2015 Oct 6;6:1520. doi: 10.3389/fpsyg.2015.01520. eCollection 2015.","Boonstra E","Front Psychol","2015","2015/10/27","PMC4594160","","10.3389/fpsyg.2015.01520"
"26054102","Premenstrual syndrome: management and pathophysiology","Imai A, Ichigo S, Matsunami K, Takagi H.","Clin Exp Obstet Gynecol. 2015;42(2):123-8.","Imai A","Clin Exp Obstet Gynecol","2015","2015/06/10","","",""
"26287242","Botulinum Toxin for Neuropathic Pain: A Review of the Literature","Oh HM, Chung ME.","Toxins (Basel). 2015 Aug 14;7(8):3127-54. doi: 10.3390/toxins7083127.","Oh HM","Toxins (Basel)","2015","2015/08/20","PMC4549742","","10.3390/toxins7083127"
"26586160","Nanosensors for neurotransmitters","Polo E, Kruss S.","Anal Bioanal Chem. 2016 Apr;408(11):2727-41. doi: 10.1007/s00216-015-9160-x. Epub 2015 Nov 19.","Polo E","Anal Bioanal Chem","2016","2015/11/21","","","10.1007/s00216-015-9160-x"
"25797188","Behavioral and cognitive effects of tyrosine intake in healthy human adults","Hase A, Jung SE, aan het Rot M.","Pharmacol Biochem Behav. 2015 Jun;133:1-6. doi: 10.1016/j.pbb.2015.03.008. Epub 2015 Mar 20.","Hase A","Pharmacol Biochem Behav","2015","2015/03/24","","","10.1016/j.pbb.2015.03.008"
"25750611","Sex hormones affect neurotransmitters and shape the adult female brain during hormonal transition periods","Barth C, Villringer A, Sacher J.","Front Neurosci. 2015 Feb 20;9:37. doi: 10.3389/fnins.2015.00037. eCollection 2015.","Barth C","Front Neurosci","2015","2015/03/10","PMC4335177","","10.3389/fnins.2015.00037"
"26687445","H19 lncRNA alters DNA methylation genome wide by regulating S-adenosylhomocysteine hydrolase","Zhou J, Yang L, Zhong T, Mueller M, Men Y, Zhang N, Xie J, Giang K, Chung H, Sun X, Lu L, Carmichael GG, Taylor HS, Huang Y.","Nat Commun. 2015 Dec 21;6:10221. doi: 10.1038/ncomms10221.","Zhou J","Nat Commun","2015","2015/12/22","PMC4703905","","10.1038/ncomms10221"
"26166239","Pisa Syndrome","Michel SF, Arias Carrión O, Correa TE, Alejandro PL, Micheli F.","Clin Neuropharmacol. 2015 Jul-Aug;38(4):135-40. doi: 10.1097/WNF.0000000000000092.","Michel SF","Clin Neuropharmacol","2015","2015/07/14","","","10.1097/WNF.0000000000000092"
"26084688","Neuroglial Transmission","Gundersen V, Storm-Mathisen J, Bergersen LH.","Physiol Rev. 2015 Jul;95(3):695-726. doi: 10.1152/physrev.00024.2014.","Gundersen V","Physiol Rev","2015","2015/06/19","","","10.1152/physrev.00024.2014"
"25939038","Electrochemical Analysis of Neurotransmitters","Bucher ES, Wightman RM.","Annu Rev Anal Chem (Palo Alto Calif). 2015;8:239-61. doi: 10.1146/annurev-anchem-071114-040426. Epub 2015 May 4.","Bucher ES","Annu Rev Anal Chem (Palo Alto Calif)","2015","2015/05/05","PMC4728736","NIHMS753313","10.1146/annurev-anchem-071114-040426"
"25979836","Gastrointestinal hormones/neurotransmitters and growth factors can activate P21 activated kinase 2 in pancreatic acinar cells by novel mechanisms","Nuche-Berenguer B, Jensen RT.","Biochim Biophys Acta. 2015 Oct;1853(10 Pt A):2371-82. doi: 10.1016/j.bbamcr.2015.05.011. Epub 2015 May 12.","Nuche-Berenguer B","Biochim Biophys Acta","2015","2015/05/17","PMC5474308","NIHMS862855","10.1016/j.bbamcr.2015.05.011"
"26478767","The genealogy of genealogy of neurons","Moroz LL.","Commun Integr Biol. 2015 Jan 3;7(6):e993269. doi: 10.4161/19420889.2014.993269. eCollection 2014 Dec.","Moroz LL","Commun Integr Biol","2015","2015/10/20","PMC4594457","","10.4161/19420889.2014.993269"
"25398377","Medication overuse headache","Cheung V, Amoozegar F, Dilli E.","Curr Neurol Neurosci Rep. 2015 Jan;15(1):509. doi: 10.1007/s11910-014-0509-x.","Cheung V","Curr Neurol Neurosci Rep","2015","2014/11/16","","","10.1007/s11910-014-0509-x"
"26601905","Neurotransmitters and Novelty: A Systematic Review","Rangel-Gomez M, Meeter M.","J Psychopharmacol. 2016 Jan;30(1):3-12. doi: 10.1177/0269881115612238. Epub 2015 Nov 24.","Rangel-Gomez M","J Psychopharmacol","2016","2015/11/26","","","10.1177/0269881115612238"
"26350337","Atypical Neurotransmitters and the Neurobiology of Depression","Joca SR, Moreira FA, Wegener G.","CNS Neurol Disord Drug Targets. 2015;14(8):1001-11. doi: 10.2174/1871527314666150909114804.","Joca SR","CNS Neurol Disord Drug Targets","2015","2015/09/10","","","10.2174/1871527314666150909114804"
"25997605","Serotonin and impulsive aggression","Coccaro EF, Fanning JR, Phan KL, Lee R.","CNS Spectr. 2015 Jun;20(3):295-302. doi: 10.1017/S1092852915000310.","Coccaro EF","CNS Spectr","2015","2015/05/23","","","10.1017/S1092852915000310"
