PMID,Title,Authors,Citation,First Author,Journal/Book,PublicationYear,Create Date,PMCID,NIHMS ID,DOI
"29903615","Neurotransmitter modulation by the gut microbiota","Strandwitz P.","Brain Res. 2018 Aug 15;1693(Pt B):128-133. doi: 10.1016/j.brainres.2018.03.015.","Strandwitz P","Brain Res","2018","2018/06/16","PMC6005194","NIHMS953233","10.1016/j.brainres.2018.03.015"
"30359597","Towards an Understanding of Synapse Formation","Südhof TC.","Neuron. 2018 Oct 24;100(2):276-293. doi: 10.1016/j.neuron.2018.09.040.","Südhof TC","Neuron","2018","2018/10/26","PMC6226307","NIHMS1509679","10.1016/j.neuron.2018.09.040"
"27512962","Neurotransmitters: The Critical Modulators Regulating Gut-Brain Axis","Mittal R, Debs LH, Patel AP, Nguyen D, Patel K, O'Connor G, Grati M, Mittal J, Yan D, Eshraghi AA, Deo SK, Daunert S, Liu XZ.","J Cell Physiol. 2017 Sep;232(9):2359-2372. doi: 10.1002/jcp.25518. Epub 2017 Apr 10.","Mittal R","J Cell Physiol","2017","2016/08/12","PMC5772764","NIHMS857497","10.1002/jcp.25518"
"30096314","Molecular Architecture of the Mouse Nervous System","Zeisel A, Hochgerner H, Lönnerberg P, Johnsson A, Memic F, van der Zwan J, Häring M, Braun E, Borm LE, La Manno G, Codeluppi S, Furlan A, Lee K, Skene N, Harris KD, Hjerling-Leffler J, Arenas E, Ernfors P, Marklund U, Linnarsson S.","Cell. 2018 Aug 9;174(4):999-1014.e22. doi: 10.1016/j.cell.2018.06.021.","Zeisel A","Cell","2018","2018/08/11","PMC6086934","","10.1016/j.cell.2018.06.021"
"28676017","Antipsychotic Drugs: From Receptor-binding Profiles to Metabolic Side Effects","Siafis S, Tzachanis D, Samara M, Papazisis G.","Curr Neuropharmacol. 2018;16(8):1210-1223. doi: 10.2174/1570159X15666170630163616.","Siafis S","Curr Neuropharmacol","2018","2017/07/06","PMC6187748","","10.2174/1570159X15666170630163616"
"27924137","Exercise-induced stress behavior, gut-microbiota-brain axis and diet: a systematic review for athletes","Clark A, Mach N.","J Int Soc Sports Nutr. 2016 Nov 24;13:43. doi: 10.1186/s12970-016-0155-6. eCollection 2016.","Clark A","J Int Soc Sports Nutr","2016","2016/12/08","PMC5121944","","10.1186/s12970-016-0155-6"
"28211810","Therapeutics of Neurotransmitters in Alzheimer's Disease","Kandimalla R, Reddy PH.","J Alzheimers Dis. 2017;57(4):1049-1069. doi: 10.3233/JAD-161118.","Kandimalla R","J Alzheimers Dis","2017","2017/02/18","PMC5793221","NIHMS937356","10.3233/JAD-161118"
"31527667","Neurotransmitters: emerging targets in cancer","Jiang SH, Hu LP, Wang X, Li J, Zhang ZG.","Oncogene. 2020 Jan;39(3):503-515. doi: 10.1038/s41388-019-1006-0. Epub 2019 Sep 16.","Jiang SH","Oncogene","2020","2019/09/19","","","10.1038/s41388-019-1006-0"
"29748506","Dietary Neurotransmitters: A Narrative Review on Current Knowledge","Briguglio M, Dell'Osso B, Panzica G, Malgaroli A, Banfi G, Zanaboni Dina C, Galentino R, Porta M.","Nutrients. 2018 May 10;10(5):591. doi: 10.3390/nu10050591.","Briguglio M","Nutrients","2018","2018/05/12","PMC5986471","","10.3390/nu10050591"
"26317601","The Modulatory Role of Dopamine in Anxiety-like Behavior","Zarrindast MR, Khakpai F.","Arch Iran Med. 2015 Sep;18(9):591-603.","Zarrindast MR","Arch Iran Med","2015","2015/08/29","","",""
"29769416","Endogenous systems involved in exercise-induced analgesia","Da Silva Santos R, Galdino G.","J Physiol Pharmacol. 2018 Feb;69(1):3-13. doi: 10.26402/jpp.2018.1.01. Epub 2018 May 8.","Da Silva Santos R","J Physiol Pharmacol","2018","2018/05/18","","","10.26402/jpp.2018.1.01"
"27366726","The neuroendocrinology of love","Seshadri KG.","Indian J Endocrinol Metab. 2016 Jul-Aug;20(4):558-63. doi: 10.4103/2230-8210.183479.","Seshadri KG","Indian J Endocrinol Metab","2016","2016/07/02","PMC4911849","","10.4103/2230-8210.183479"
"31106085","A Review of Novel Antidepressants: A Guide for Clinicians","Faquih AE, Memon RI, Hafeez H, Zeshan M, Naveed S.","Cureus. 2019 Mar 6;11(3):e4185. doi: 10.7759/cureus.4185.","Faquih AE","Cureus","2019","2019/05/21","PMC6504013","","10.7759/cureus.4185"
"30042373","General Pathways of Pain Sensation and the Major Neurotransmitters Involved in Pain Regulation","Yam MF, Loh YC, Tan CS, Khadijah Adam S, Abdul Manan N, Basir R.","Int J Mol Sci. 2018 Jul 24;19(8):2164. doi: 10.3390/ijms19082164.","Yam MF","Int J Mol Sci","2018","2018/07/26","PMC6121522","","10.3390/ijms19082164"
"30232847","[Mechanisms of Acupuncture for Inflammatory Pain]","Li Y, Wu F, Cheng K, Shen XY, Lao LX.","Zhen Ci Yan Jiu. 2018 Aug 25;43(8):467-75. doi: 10.13702/j.1000-0607.180196.","Li Y","Zhen Ci Yan Jiu","2018","2018/09/21","","","10.13702/j.1000-0607.180196"
"28434991","The control of sleep and wakefulness by mesolimbic dopamine systems","Oishi Y, Lazarus M.","Neurosci Res. 2017 May;118:66-73. doi: 10.1016/j.neures.2017.04.008. Epub 2017 Apr 20.","Oishi Y","Neurosci Res","2017","2017/04/25","","","10.1016/j.neures.2017.04.008"
"25524119","The mechanisms and functions of spontaneous neurotransmitter release","Kavalali ET.","Nat Rev Neurosci. 2015 Jan;16(1):5-16. doi: 10.1038/nrn3875.","Kavalali ET","Nat Rev Neurosci","2015","2014/12/20","","","10.1038/nrn3875"
