PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"30458223","Diversity and Specificity of Astrocyte-neuron Communication","Durkee CA, Araque A.","Neuroscience. 2019 Jan 1;396:73-78. doi: 10.1016/j.neuroscience.2018.11.010. Epub 2018 Nov 17.","Durkee CA","Neuroscience","2019","2018/11/21","PMC6494094","NIHMS1512963","10.1016/j.neuroscience.2018.11.010"
"31533339","Physical Activity and Brain Health","Di Liegro CM, Schiera G, Proia P, Di Liegro I.","Genes (Basel). 2019 Sep 17;10(9):720. doi: 10.3390/genes10090720.","Di Liegro CM","Genes (Basel)","2019","2019/09/20","PMC6770965","","10.3390/genes10090720"
"30569209","Dopamine and addiction: what have we learned from 40 years of research","Solinas M, Belujon P, Fernagut PO, Jaber M, Thiriet N.","J Neural Transm (Vienna). 2019 Apr;126(4):481-516. doi: 10.1007/s00702-018-1957-2. Epub 2018 Dec 19.","Solinas M","J Neural Transm (Vienna)","2019","2018/12/21","","","10.1007/s00702-018-1957-2"
"31527667","Neurotransmitters: emerging targets in cancer","Jiang SH, Hu LP, Wang X, Li J, Zhang ZG.","Oncogene. 2020 Jan;39(3):503-515. doi: 10.1038/s41388-019-1006-0. Epub 2019 Sep 16.","Jiang SH","Oncogene","2020","2019/09/19","","","10.1038/s41388-019-1006-0"
"30934533","Glutamatergic Signaling Along The Microbiota-Gut-Brain Axis","Baj A, Moro E, Bistoletti M, Orlandi V, Crema F, Giaroni C.","Int J Mol Sci. 2019 Mar 25;20(6):1482. doi: 10.3390/ijms20061482.","Baj A","Int J Mol Sci","2019","2019/04/03","PMC6471396","","10.3390/ijms20061482"
"31975953","Ketamine for Treatment-Resistant Mood Disorders","Park LT, Falodun TB, Zarate CA Jr.","Focus (Am Psychiatr Publ). 2019 Jan;17(1):8-12. doi: 10.1176/appi.focus.20180030. Epub 2019 Jan 7.","Park LT","Focus (Am Psychiatr Publ)","2019","2020/01/25","PMC6493154","","10.1176/appi.focus.20180030"
"31791704","A review of antibiotics, depression, and the gut microbiome","Hao WZ, Li XJ, Zhang PW, Chen JX.","Psychiatry Res. 2020 Feb;284:112691. doi: 10.1016/j.psychres.2019.112691. Epub 2019 Nov 14.","Hao WZ","Psychiatry Res","2020","2019/12/04","","","10.1016/j.psychres.2019.112691"
"31583582","The Concept of Neuroglia","Verkhratsky A, Ho MS, Zorec R, Parpura V.","Adv Exp Med Biol. 2019;1175:1-13. doi: 10.1007/978-981-13-9913-8_1.","Verkhratsky A","Adv Exp Med Biol","2019","2019/10/05","PMC7188601","NIHMS1581156","10.1007/978-981-13-9913-8_1"
"31106085","A Review of Novel Antidepressants: A Guide for Clinicians","Faquih AE, Memon RI, Hafeez H, Zeshan M, Naveed S.","Cureus. 2019 Mar 6;11(3):e4185. doi: 10.7759/cureus.4185.","Faquih AE","Cureus","2019","2019/05/21","PMC6504013","","10.7759/cureus.4185"
"30920075","The role of gut microbiota in pathogenesis of Alzheimer's disease","Bostanciklioğlu M.","J Appl Microbiol. 2019 Oct;127(4):954-967. doi: 10.1111/jam.14264. Epub 2019 Apr 15.","Bostanciklioğlu M","J Appl Microbiol","2019","2019/03/29","","","10.1111/jam.14264"
"30687918","[The microbiota-gut-brain axis and its great projections]","Gomez-Eguilaz M, Ramon-Trapero JL, Perez-Martinez L, Blanco JR.","Rev Neurol. 2019 Feb 1;68(3):111-117.","Gomez-Eguilaz M","Rev Neurol","2019","2019/01/29","","",""
"31181682","Neuroendocrine Aspects of Skin Aging","Bocheva G, Slominski RM, Slominski AT.","Int J Mol Sci. 2019 Jun 7;20(11):2798. doi: 10.3390/ijms20112798.","Bocheva G","Int J Mol Sci","2019","2019/06/12","PMC6600459","","10.3390/ijms20112798"
