PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"27475769","Neurobiology of addiction: a neurocircuitry analysis","Koob GF, Volkow ND.","Lancet Psychiatry. 2016 Aug;3(8):760-773. doi: 10.1016/S2215-0366(16)00104-8.","Koob GF","Lancet Psychiatry","2016","2016/08/01","PMC6135092","NIHMS985499","10.1016/S2215-0366(16)00104-8"
"27100966","Adapting to Stress: Understanding the Neurobiology of Resilience","Osório C, Probert T, Jones E, Young AH, Robbins I.","Behav Med. 2017 Oct-Dec;43(4):307-322. doi: 10.1080/08964289.2016.1170661. Epub 2016 Apr 21.","Osório C","Behav Med","2017","2016/04/22","","","10.1080/08964289.2016.1170661"
"26589880","Aripiprazole","Prommer E.","Am J Hosp Palliat Care. 2017 Mar;34(2):180-185. doi: 10.1177/1049909115612800. Epub 2016 Jul 10.","Prommer E","Am J Hosp Palliat Care","2017","2015/11/22","","","10.1177/1049909115612800"
"27793571","Nociceptor Sensory Neuron-Immune Interactions in Pain and Inflammation","Pinho-Ribeiro FA, Verri WA Jr, Chiu IM.","Trends Immunol. 2017 Jan;38(1):5-19. doi: 10.1016/j.it.2016.10.001. Epub 2016 Oct 25.","Pinho-Ribeiro FA","Trends Immunol","2017","2016/10/30","PMC5205568","NIHMS821842","10.1016/j.it.2016.10.001"
"27924137","Exercise-induced stress behavior, gut-microbiota-brain axis and diet: a systematic review for athletes","Clark A, Mach N.","J Int Soc Sports Nutr. 2016 Nov 24;13:43. doi: 10.1186/s12970-016-0155-6. eCollection 2016.","Clark A","J Int Soc Sports Nutr","2016","2016/12/08","PMC5121944","","10.1186/s12970-016-0155-6"
"26364692","Vagus Nerve and Vagus Nerve Stimulation, a Comprehensive Review: Part I","Yuan H, Silberstein SD.","Headache. 2016 Jan;56(1):71-8. doi: 10.1111/head.12647. Epub 2015 Sep 14.","Yuan H","Headache","2016","2015/09/15","","","10.1111/head.12647"
"26711676","The role of inflammation in depression: from evolutionary imperative to modern treatment target","Miller AH, Raison CL.","Nat Rev Immunol. 2016 Jan;16(1):22-34. doi: 10.1038/nri.2015.5.","Miller AH","Nat Rev Immunol","2016","2015/12/30","PMC5542678","NIHMS884009","10.1038/nri.2015.5"
"27500859","Probiotics, gut microbiota, and their influence on host health and disease","Sánchez B, Delgado S, Blanco-Míguez A, Lourenço A, Gueimonde M, Margolles A.","Mol Nutr Food Res. 2017 Jan;61(1). doi: 10.1002/mnfr.201600240. Epub 2016 Oct 10.","Sánchez B","Mol Nutr Food Res","2017","2016/08/09","","","10.1002/mnfr.201600240"
"27823736","Depression in midlife women","Sassarini DJ.","Maturitas. 2016 Dec;94:149-154. doi: 10.1016/j.maturitas.2016.09.004. Epub 2016 Sep 16.","Sassarini DJ","Maturitas","2016","2016/11/09","","","10.1016/j.maturitas.2016.09.004"
"25828533","Astrocyte roles in traumatic brain injury","Burda JE, Bernstein AM, Sofroniew MV.","Exp Neurol. 2016 Jan;275 Pt 3(0 3):305-315. doi: 10.1016/j.expneurol.2015.03.020. Epub 2015 Mar 28.","Burda JE","Exp Neurol","2016","2015/04/02","PMC4586307","NIHMS680163","10.1016/j.expneurol.2015.03.020"
"27154602","Neuroscience of Tinnitus","Ryan D, Bauer CA.","Neuroimaging Clin N Am. 2016 May;26(2):187-96. doi: 10.1016/j.nic.2015.12.001. Epub 2016 Mar 22.","Ryan D","Neuroimaging Clin N Am","2016","2016/05/08","","","10.1016/j.nic.2015.12.001"
"27366726","The neuroendocrinology of love","Seshadri KG.","Indian J Endocrinol Metab. 2016 Jul-Aug;20(4):558-63. doi: 10.4103/2230-8210.183479.","Seshadri KG","Indian J Endocrinol Metab","2016","2016/07/02","PMC4911849","","10.4103/2230-8210.183479"
"28061971","The Endocannabinoid System and Anxiety","Lisboa SF, Gomes FV, Terzian AL, Aguiar DC, Moreira FA, Resstel LB, Guimarães FS.","Vitam Horm. 2017;103:193-279. doi: 10.1016/bs.vh.2016.09.006. Epub 2016 Nov 2.","Lisboa SF","Vitam Horm","2017","2017/01/08","","","10.1016/bs.vh.2016.09.006"
"26174744","Treatment of drug-induced seizures","Chen HY, Albertson TE, Olson KR.","Br J Clin Pharmacol. 2016 Mar;81(3):412-9. doi: 10.1111/bcp.12720. Epub 2015 Sep 17.","Chen HY","Br J Clin Pharmacol","2016","2015/07/16","PMC4767205","","10.1111/bcp.12720"
