PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"28164854","The Microbiome-Gut-Brain Axis in Health and Disease","Dinan TG, Cryan JF.","Gastroenterol Clin North Am. 2017 Mar;46(1):77-89. doi: 10.1016/j.gtc.2016.09.007. Epub 2017 Jan 4.","Dinan TG","Gastroenterol Clin North Am","2017","2017/02/07","","","10.1016/j.gtc.2016.09.007"
"29150166","Exercise and mental health","Mikkelsen K, Stojanovska L, Polenakovic M, Bosevski M, Apostolopoulos V.","Maturitas. 2017 Dec;106:48-56. doi: 10.1016/j.maturitas.2017.09.003. Epub 2017 Sep 7.","Mikkelsen K","Maturitas","2017","2017/11/19","","","10.1016/j.maturitas.2017.09.003"
"27512962","Neurotransmitters: The Critical Modulators Regulating Gut-Brain Axis","Mittal R, Debs LH, Patel AP, Nguyen D, Patel K, O'Connor G, Grati M, Mittal J, Yan D, Eshraghi AA, Deo SK, Daunert S, Liu XZ.","J Cell Physiol. 2017 Sep;232(9):2359-2372. doi: 10.1002/jcp.25518. Epub 2017 Apr 10.","Mittal R","J Cell Physiol","2017","2016/08/12","PMC5772764","NIHMS857497","10.1002/jcp.25518"
"27100966","Adapting to Stress: Understanding the Neurobiology of Resilience","Osório C, Probert T, Jones E, Young AH, Robbins I.","Behav Med. 2017 Oct-Dec;43(4):307-322. doi: 10.1080/08964289.2016.1170661. Epub 2016 Apr 21.","Osório C","Behav Med","2017","2016/04/22","","","10.1080/08964289.2016.1170661"
"28771182","New Targets for Schizophrenia Treatment beyond the Dopamine Hypothesis","Yang AC, Tsai SJ.","Int J Mol Sci. 2017 Aug 3;18(8):1689. doi: 10.3390/ijms18081689.","Yang AC","Int J Mol Sci","2017","2017/08/04","PMC5578079","","10.3390/ijms18081689"
"26589880","Aripiprazole","Prommer E.","Am J Hosp Palliat Care. 2017 Mar;34(2):180-185. doi: 10.1177/1049909115612800. Epub 2016 Jul 10.","Prommer E","Am J Hosp Palliat Care","2017","2015/11/22","","","10.1177/1049909115612800"
"27793571","Nociceptor Sensory Neuron-Immune Interactions in Pain and Inflammation","Pinho-Ribeiro FA, Verri WA Jr, Chiu IM.","Trends Immunol. 2017 Jan;38(1):5-19. doi: 10.1016/j.it.2016.10.001. Epub 2016 Oct 25.","Pinho-Ribeiro FA","Trends Immunol","2017","2016/10/30","PMC5205568","NIHMS821842","10.1016/j.it.2016.10.001"
"28837075","Botulinum Toxin for the Treatment of Neuropathic Pain","Park J, Park HJ.","Toxins (Basel). 2017 Aug 24;9(9):260. doi: 10.3390/toxins9090260.","Park J","Toxins (Basel)","2017","2017/08/25","PMC5618193","","10.3390/toxins9090260"
"28380372","GPCR-Mediated Signaling of Metabolites","Husted AS, Trauelsen M, Rudenko O, Hjorth SA, Schwartz TW.","Cell Metab. 2017 Apr 4;25(4):777-796. doi: 10.1016/j.cmet.2017.03.008.","Husted AS","Cell Metab","2017","2017/04/06","","","10.1016/j.cmet.2017.03.008"
"29232923","An Oldie but Goodie: Lithium in the Treatment of Bipolar Disorder through Neuroprotective and Neurotrophic Mechanisms","Won E, Kim YK.","Int J Mol Sci. 2017 Dec 11;18(12):2679. doi: 10.3390/ijms18122679.","Won E","Int J Mol Sci","2017","2017/12/14","PMC5751281","","10.3390/ijms18122679"
"28577468","Wake-sleep circuitry: an overview","Saper CB, Fuller PM.","Curr Opin Neurobiol. 2017 Jun;44:186-192. doi: 10.1016/j.conb.2017.03.021. Epub 2017 May 31.","Saper CB","Curr Opin Neurobiol","2017","2017/06/04","PMC5531075","NIHMS878032","10.1016/j.conb.2017.03.021"
"28211810","Therapeutics of Neurotransmitters in Alzheimer's Disease","Kandimalla R, Reddy PH.","J Alzheimers Dis. 2017;57(4):1049-1069. doi: 10.3233/JAD-161118.","Kandimalla R","J Alzheimers Dis","2017","2017/02/18","PMC5793221","NIHMS937356","10.3233/JAD-161118"
"28198207","Neurophysiological symptoms and aspartame: What is the connection?","Choudhary AK, Lee YY.","Nutr Neurosci. 2018 Jun;21(5):306-316. doi: 10.1080/1028415X.2017.1288340. Epub 2017 Feb 15.","Choudhary AK","Nutr Neurosci","2018","2017/02/16","","","10.1080/1028415X.2017.1288340"
"27500859","Probiotics, gut microbiota, and their influence on host health and disease","Sánchez B, Delgado S, Blanco-Míguez A, Lourenço A, Gueimonde M, Margolles A.","Mol Nutr Food Res. 2017 Jan;61(1). doi: 10.1002/mnfr.201600240. Epub 2016 Oct 10.","Sánchez B","Mol Nutr Food Res","2017","2016/08/09","","","10.1002/mnfr.201600240"
"28948817","Vitamin D, neurosteroids and autism","Máčová L, Bičíková M, Ostatníková D, Hill M, Stárka L.","Physiol Res. 2017 Sep 26;66(Suppl 3):S333-S340. doi: 10.33549/physiolres.933721.","Máčová L","Physiol Res","2017","2017/09/27","","","10.33549/physiolres.933721"
"28878340","The pharmacogenomics of valproic acid","Zhu MM, Li HL, Shi LH, Chen XP, Luo J, Zhang ZL.","J Hum Genet. 2017 Dec;62(12):1009-1014. doi: 10.1038/jhg.2017.91. Epub 2017 Sep 7.","Zhu MM","J Hum Genet","2017","2017/09/08","","","10.1038/jhg.2017.91"
"28802933","Cognition in Parkinson's Disease","O'Callaghan C, Lewis SJG.","Int Rev Neurobiol. 2017;133:557-583. doi: 10.1016/bs.irn.2017.05.002. Epub 2017 Jun 16.","O'Callaghan C","Int Rev Neurobiol","2017","2017/08/14","","","10.1016/bs.irn.2017.05.002"
